active_compute_proxy,best_round_disagreement,best_round_greedy_success,best_round_index,best_round_path_entropy,best_round_post_unlock_frac,best_round_route_entropy,block,checkpoint_path,config_path,eval_return,final_greedy_success,final_round_active_compute_proxy,final_round_disagreement,final_round_path_entropy,final_round_post_unlock_frac,final_round_route_entropy,final_sampled_success,label,lane,method,path_entropy,route_entropy,run_dir,seed,variant
1.0,0.0,0.0,0,0.0,0.0,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/token_dense_ent1e3/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/token_dense_ent1e3/resolved_config.yaml,0.9543812330812216,1.0,0.0,0.0,0.0,0.0,0.0,1.0,recovered_token_dense,post_pass_b,baseline_recovered_token_dense,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/token_dense_ent1e3,79,token_dense
0.5,0.0,0.0,0,0.0,0.0,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/sare_ent1e3/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/sare_ent1e3/resolved_config.yaml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96875,baseline_sare,post_pass_b,baseline_sare,1.2084856389760972,1.3856937254071235,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/sare_ent1e3,79,sare
1.0,0.1316425120772947,1.0,1,0.0,0.3417874396135266,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_token_dense/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_token_dense/student_resolved_config.yaml,0.9642812367528677,1.0,1.0,0.4483300589390963,0.0,0.09508840864440078,0.0,1.0,kl_lss_token_dense,post_pass_b,post_unlock_weighted,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_token_dense,79,token_dense
1.0,0.9995625,0.0,1,0.0,0.0,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_single_expert/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_single_expert/student_resolved_config.yaml,0.0,0.0,1.0,0.49125,0.0,0.5523125,0.0,0.6875,kl_lss_single_expert,post_pass_b,post_unlock_weighted,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_single_expert,79,single_expert
0.5,0.7037525652301377,1.0,3,1.2936210499477574,0.022280856053943126,1.3723325091000844,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_sare/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_sare/student_resolved_config.yaml,0.9646187368780375,1.0,0.5,0.0,1.2688878200140343,0.45,1.3627615032425846,1.0,kl_lss_sare,post_pass_b,post_unlock_weighted,1.243702800877123,1.3584630259548325,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_sare,79,sare
1.0,0.0,0.0,0,0.0,0.0,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/token_dense_ent1e3/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/token_dense_ent1e3/resolved_config.yaml,0.9651249870657921,1.0,0.0,0.0,0.0,0.0,0.0,1.0,recovered_token_dense,post_pass_b,baseline_recovered_token_dense,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/token_dense_ent1e3,83,token_dense
0.5,0.0,0.0,0,0.0,0.0,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/sare_ent1e3/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/sare_ent1e3/resolved_config.yaml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_sare,post_pass_b,baseline_sare,0.15747636184096336,1.3816714137792587,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/sare_ent1e3,83,sare
1.0,0.0049586776859504135,1.0,1,0.0,0.4677685950413223,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_token_dense/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_token_dense/student_resolved_config.yaml,0.9644499868154526,1.0,1.0,0.0,0.0,0.46825396825396826,0.0,1.0,kl_lss_token_dense,post_pass_b,post_unlock_weighted,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_token_dense,83,token_dense
1.0,0.97175,0.5625,4,0.0,0.979625,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_single_expert/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_single_expert/student_resolved_config.yaml,0.5452874936163425,0.5625,1.0,0.97175,0.0,0.979625,0.0,0.984375,kl_lss_single_expert,post_pass_b,post_unlock_weighted,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_single_expert,83,single_expert
0.5,0.979625,0.5625,4,0.6115215326249599,0.979625,1.3560149040818215,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_sare/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_sare/student_resolved_config.yaml,0.5452874936163425,0.5625,0.5,0.979625,0.6115215326249599,0.979625,1.3560149040818215,0.625,kl_lss_sare,post_pass_b,post_unlock_weighted,0.7533300549228017,1.3608255420080044,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_sare,83,sare
