active_compute_proxy,approx_kl,ent_coef_current,entropy,env_id,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,explained_variance,global_step,gpu_utilization,greedy,loss,mode,policy_loss,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,rollout/action_entropy,rollout/action_greedy_match,rollout/action_logit_margin,rollout/action_max_prob,rollout/action_selected_prob,route_entropy,run_dir,run_name,step,temperature,throughput_fps,train/episode_length,train/episode_return,train/episodes_completed,train/success_rate,value_loss,variant,wall_clock_seconds
1.0,4.430410626810044e-06,0.0010000000474974513,1.3805874586105347,MiniGrid-DoorKey-5x5-v0,1.0147622658982873,0.69225,1.1815172939077019,0.6946296920925379,1.1815172939077019,0.6946296920925379,250.0,,0.6946296920925379,,,250.0,0.0,0.0,-0.16495868563652039,163840.0,56.0,False,-0.0015497158747166395,sampled_t0.7,-0.00017060551908798516,11.420310020446777,11.241138458251953,0.16247649490833282,11.419532775878906,0.9697449207305908,1.3809645175933838,0.541015625,1.1744117736816406,0.5366238355636597,0.345130980014801,0.0,outputs/experiments/teacher_extraction/multiseed/seed_11/token_dense_ent1e3,token_dense_ent1e3,80,0.7,6038.60546875,250.0,0.0,1.0,0.0,2.955055606435053e-06,token_dense,27.13209342956543
1.0,4.430410626810044e-06,0.0010000000474974513,1.3805874586105347,MiniGrid-DoorKey-5x5-v0,0.6219179964996875,0.8402499999999999,1.18890697106719,0.838112116150558,1.18890697106719,0.838112116150558,250.0,,0.838112116150558,,,250.0,0.0,0.0,-0.16495868563652039,163840.0,56.0,False,-0.0015497158747166395,sampled_t0.5,-0.00017060551908798516,11.420310020446777,11.241138458251953,0.16247649490833282,11.419532775878906,0.9697449207305908,1.3809645175933838,0.541015625,1.1744117736816406,0.5366238355636597,0.345130980014801,0.0,outputs/experiments/teacher_extraction/multiseed/seed_11/token_dense_ent1e3,token_dense_ent1e3,80,0.5,6038.60546875,250.0,0.0,1.0,0.0,2.955055606435053e-06,token_dense,27.13209342956543
,,,,MiniGrid-DoorKey-5x5-v0,0.060145965748388416,1.0,7.054874909368396,0.9861109986559312,,,9.0,0.9844738619092882,0.9874674833888641,7.054874909368396,0.9861109986559312,9.71875,0.9650124870240688,1.0,,,,True,,greedy,,,,,,,,,,,,,outputs/experiments/teacher_extraction/multiseed/seed_11/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,1.0,,,,,,,sare,
,,,,MiniGrid-DoorKey-5x5-v0,0.06278669541225991,0.9900161687271063,7.005211877143555,0.9850886199082801,,,9.0,0.9823676874048951,0.9874894427053846,7.005211877143555,0.9850886199082801,9.953125,0.9641687367111444,1.0,,,,False,,sampled_t1.0,,,,,,,,,,,,,outputs/experiments/teacher_extraction/multiseed/seed_11/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,1.0,,,,,,,sare,
,,,,MiniGrid-DoorKey-5x5-v0,0.019799635893065284,1.0,7.054874909368396,0.9955807617096895,,,9.0,0.9942881277808969,0.9966518012506892,7.054874909368396,0.9955807617096895,9.71875,0.9650124870240688,1.0,,,,False,,sampled_t0.7,,,,,,,,,,,,,outputs/experiments/teacher_extraction/multiseed/seed_11/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,0.7,,,,,,,sare,
,,,,MiniGrid-DoorKey-5x5-v0,0.006261542644255739,1.0,7.054874909368396,0.9984399785428271,,,9.0,0.9973420435523311,0.9993496961063808,7.054874909368396,0.9984399785428271,9.71875,0.9650124870240688,1.0,,,,False,,sampled_t0.5,,,,,,,,,,,,,outputs/experiments/teacher_extraction/multiseed/seed_11/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,0.5,,,,,,,sare,
1.0,6.502974429167807e-05,0.0010000000474974513,0.14234212040901184,MiniGrid-DoorKey-5x5-v0,0.12172368075640592,1.0,5.372959763652683,0.9755182455057851,,,10.0,0.9807745829301107,0.9732989030377364,5.372959763652683,0.9755182455057851,10.015625,0.963943736627698,1.0,0.5278438925743103,163840.0,51.25,True,-0.000798134773503989,greedy,-0.0007815530989319086,11.341944694519043,10.619140625,0.31528550386428833,11.346711158752441,0.8881405591964722,0.14414942264556885,0.97314453125,5.2252197265625,0.9684896469116211,0.9472436904907227,0.0,outputs/experiments/teacher_extraction/multiseed/seed_19/token_dense_ent1e3,token_dense_ent1e3,80,1.0,6045.2119140625,10.391752577319588,0.9625896965105509,194.0,1.0,0.0002515209198463708,token_dense,27.102439880371094
1.0,6.502974429167807e-05,0.0010000000474974513,0.14234212040901184,MiniGrid-DoorKey-5x5-v0,0.12975831437605134,0.974453038791274,5.299477825457121,0.9732834421817554,,,10.0,0.9749236298587931,0.97223203982468,5.299477825457121,0.9732834421817554,10.515625,0.9621437359601259,1.0,0.5278438925743103,163840.0,51.25,False,-0.000798134773503989,sampled_t1.0,-0.0007815530989319086,11.341944694519043,10.619140625,0.31528550386428833,11.346711158752441,0.8881405591964722,0.14414942264556885,0.97314453125,5.2252197265625,0.9684896469116211,0.9472436904907227,0.0,outputs/experiments/teacher_extraction/multiseed/seed_19/token_dense_ent1e3,token_dense_ent1e3,80,1.0,6045.2119140625,10.391752577319588,0.9625896965105509,194.0,1.0,0.0002515209198463708,token_dense,27.102439880371094
1.0,6.502974429167807e-05,0.0010000000474974513,0.14234212040901184,MiniGrid-DoorKey-5x5-v0,0.03599801485969607,0.9893614631895882,5.31579366469874,0.992509559790862,,,10.0,0.9923709668988215,0.9925821560676452,5.31579366469874,0.992509559790862,10.28125,0.9629874862730503,1.0,0.5278438925743103,163840.0,51.25,False,-0.000798134773503989,sampled_t0.7,-0.0007815530989319086,11.341944694519043,10.619140625,0.31528550386428833,11.346711158752441,0.8881405591964722,0.14414942264556885,0.97314453125,5.2252197265625,0.9684896469116211,0.9472436904907227,0.0,outputs/experiments/teacher_extraction/multiseed/seed_19/token_dense_ent1e3,token_dense_ent1e3,80,0.7,6045.2119140625,10.391752577319588,0.9625896965105509,194.0,1.0,0.0002515209198463708,token_dense,27.102439880371094
1.0,6.502974429167807e-05,0.0010000000474974513,0.14234212040901184,MiniGrid-DoorKey-5x5-v0,0.01019388207667678,0.9976151315789473,5.346564618874835,0.9978883555987423,,,10.0,0.9975014765275109,0.998051704539929,5.346564618874835,0.9978883555987423,10.078125,0.9637187365442514,1.0,0.5278438925743103,163840.0,51.25,False,-0.000798134773503989,sampled_t0.5,-0.0007815530989319086,11.341944694519043,10.619140625,0.31528550386428833,11.346711158752441,0.8881405591964722,0.14414942264556885,0.97314453125,5.2252197265625,0.9684896469116211,0.9472436904907227,0.0,outputs/experiments/teacher_extraction/multiseed/seed_19/token_dense_ent1e3,token_dense_ent1e3,80,0.5,6045.2119140625,10.391752577319588,0.9625896965105509,194.0,1.0,0.0002515209198463708,token_dense,27.102439880371094
,,,,MiniGrid-DoorKey-5x5-v0,0.1984412762029331,1.0,4.850645045757293,0.9369240004085004,4.850645045757293,0.9369240004085004,250.0,,0.9369240004085004,,,250.0,0.0,0.0,,,,True,,greedy,,,,,,,,,,,,,outputs/experiments/teacher_extraction/multiseed/seed_19/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,1.0,,,,,,,sare,
,,,,MiniGrid-DoorKey-5x5-v0,0.011968569009846546,0.9974375000000001,9.531768049284816,0.9969933667071164,9.531768049284816,0.9969933667071164,250.0,,0.9969933667071164,,,250.0,0.0,0.0,,,,False,,sampled_t1.0,,,,,,,,,,,,,outputs/experiments/teacher_extraction/multiseed/seed_19/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,1.0,,,,,,,sare,
,,,,MiniGrid-DoorKey-5x5-v0,0.009493374953506616,0.9978125,9.276144358381629,0.9975888264924289,9.276144358381629,0.9975888264924289,250.0,,0.9975888264924289,,,250.0,0.0,0.0,,,,False,,sampled_t0.7,,,,,,,,,,,,,outputs/experiments/teacher_extraction/multiseed/seed_19/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,0.7,,,,,,,sare,
,,,,MiniGrid-DoorKey-5x5-v0,0.01349201255093085,0.998,8.300591307878493,0.9972980167344212,8.300591307878493,0.9972980167344212,250.0,,0.9972980167344212,,,250.0,0.0,0.0,,,,False,,sampled_t0.5,,,,,,,,,,,,,outputs/experiments/teacher_extraction/multiseed/seed_19/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,0.5,,,,,,,sare,
