active_compute_proxy,checkpoint_path,config_path,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,expert_load_1,expert_load_2,expert_load_3,greedy,label,method,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,round_index,route_entropy,run_dir,seed,stage,temperature,variant
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3/resolved_config.yaml,1.2273850434049964,1.0,0.5402715673670172,0.48497066188044846,0.5402715673670172,0.48497066188044846,250.0,,0.48497066188044846,,,250.0,0.0,0.0,0.24717620841413737,0.24631508538126945,0.25383934274315834,0.252669357791543,True,baseline_sare,baseline,greedy,0.9999999851286411,0.9999999851286411,0.9999999851286411,1.3110624259114265,11.614155915260316,1.5269912911653518,0.9710371480584145,11.430612213134765,-0.00043547491217759673,,1.385384712934494,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3,29,baseline,1.0,sare
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3/resolved_config.yaml,0.9443810074642522,0.666440971926612,1.4501014726749257,0.6482721956671124,2.7945475440025334,0.8676743907928467,30.0,0.6614722200734483,0.6358721727399481,1.3839811740850434,0.6374819237756829,47.859375,0.8230187487788498,0.953125,0.24655610855136598,0.24516327116071904,0.2541299960854965,0.2541505960824852,False,baseline_sare,baseline,sampled_t1.0,0.999999974729828,0.999999974729828,0.999999974729828,1.310911417556798,11.630295995193693,2.0395535980501482,0.9601157230715598,11.446948734845984,0.013569858554597249,,1.3852199870869861,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3,29,baseline,1.0,sare
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3/resolved_config.yaml,0.670814410391319,0.7391006025212261,1.4598266726647307,0.7411738233460539,3.0388019719123838,0.9544499819278717,29.0,0.756253020894065,0.7278686490389854,1.4088919855922257,0.7342939472627695,40.5625,0.8508499972522259,0.96875,0.24695071875256427,0.24581915619684028,0.2538167185130272,0.25341337998496727,False,baseline_sare,baseline,sampled_t0.7,0.9999999793920111,0.9999999793920111,0.9999999793920111,1.3195067602903285,11.608172685542005,1.6420638491498663,0.9683970815323769,11.436734184305719,0.0012975611849431012,,1.385315383685396,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3,29,baseline,0.7,sare
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3/resolved_config.yaml,0.48376627922679294,0.7879722593698947,1.4437450990268732,0.8042313223533974,2.638868741171701,0.9471575855187009,38.5,0.8387515017027986,0.7697111430039962,1.2969755289389118,0.7866789742453776,69.515625,0.7388062495738268,0.890625,0.2468638725613874,0.24574412304902188,0.25384950520853794,0.253542471811573,False,baseline_sare,baseline,sampled_t0.5,0.9999999843736646,0.9999999843736646,0.9999999843736646,1.323513809141222,11.626508625934786,1.6908376841941846,0.9670815906681858,11.439775772334269,0.0022520382220277877,,1.3853101726603845,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3,29,baseline,0.5,sare
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3/resolved_config.yaml,0.03434631043636922,1.0,7.20530479626846,0.9913141333766995,,,9.0,0.9852501757341428,0.9952012857116719,7.20530479626846,0.9913141333766995,9.640625,0.965293737128377,1.0,,,,,True,flat_dense,baseline,greedy,,,,,,3.3367085574585715,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3,31,baseline,1.0,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3/resolved_config.yaml,0.03613170012839574,0.9906300080128205,7.1806324024566575,0.9905347259920945,,,9.0,0.9832548928295539,0.9952012857116719,7.1806324024566575,0.9905347259920945,9.796875,0.9647312369197607,1.0,,,,,False,flat_dense,baseline,sampled_t1.0,,,,,,3.3480839405530767,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3,31,baseline,1.0,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3/resolved_config.yaml,0.012665001364015629,0.9947182158119658,7.203074797039785,0.9958242075921796,,,9.0,0.992419028201105,0.9980070148941506,7.203074797039785,0.9958242075921796,9.671875,0.9651812370866537,1.0,,,,,False,flat_dense,baseline,sampled_t0.7,,,,,,3.3341233435972235,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3,31,baseline,0.7,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3/resolved_config.yaml,0.007359321265613291,0.9960202991452991,7.2022771242216805,0.9975272016448586,,,9.0,0.9958435385180757,0.9986064728799757,7.2022771242216805,0.9975272016448586,9.671875,0.9651812370866537,1.0,,,,,False,flat_dense,baseline,sampled_t0.5,,,,,,3.3347886285664123,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/flat_dense_ent1e3,31,baseline,0.5,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/token_dense_ent1e3/resolved_config.yaml,0.027271169743622543,1.0,7.102591631795323,0.9957016342322895,,,10.0,0.9943620315007401,0.9968115907812874,7.102591631795323,0.9957016342322895,10.703125,0.9614687357097864,1.0,,,,,True,recovered_token_dense,baseline,greedy,,,,,11.332968165365498,10.16641579317243,0.393901840689477,11.336485905593701,0.814521026075556,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/token_dense_ent1e3,31,baseline,1.0,token_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/token_dense_ent1e3/resolved_config.yaml,0.028752975039398214,0.9946222333630421,7.083657193374805,0.995286801067081,,,10.0,0.9935233206281029,0.9968428132191204,7.083657193374805,0.995286801067081,10.796875,0.9611312355846167,1.0,,,,,False,recovered_token_dense,baseline,sampled_t1.0,,,,,11.332886357461252,10.164542639127342,0.39409272292608855,11.336511488883726,0.8142658843789049,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/token_dense_ent1e3,31,baseline,1.0,token_dense
