best_round_disagreement,best_round_greedy_success,best_round_index,best_round_post_unlock_frac,best_round_unique_ratio,candidate,checkpoint_path,config_path,current_candidate_greedy_success,current_single_expert_greedy_success,current_token_dense_greedy_success,delta_vs_current_candidate,delta_vs_current_single_expert,delta_vs_current_token_dense,final_greedy_success,final_round_active_compute,final_round_added_steps,final_round_aggregate_steps,final_round_disagreement,final_round_fine_tune_steps,final_round_path_entropy,final_round_post_unlock_frac,final_round_route_entropy,final_round_unique_ratio,label,lane,run_dir,seed
0.5105,0.5625,4,0.979625,0.002875,carry2_post4,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_b/seed_83/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_b/seed_83/kl_lss_sare/student_resolved_config.yaml,0.5625,0.5625,1.0,0.0,0.0,-0.4375,0.5625,0.5,16000.0,64000.0,0.5105,2000.0,0.6238848759233951,0.979625,1.3516026201248168,0.002875,kl_lss_sare,post_pass_b,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_b/seed_83/kl_lss_sare,83
0.9721875,0.515625,4,0.9485,0.00325,carry2_post4,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_c/seed_89/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_c/seed_89/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,1.0,0.515625,0.515625,-0.484375,0.515625,0.5,16000.0,64000.0,0.9721875,2000.0,0.900011449366808,0.9485,1.3838519076108933,0.00325,kl_lss_sare,post_pass_c,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_c/seed_89/kl_lss_sare,89
0.9954375,0.0,1,0.0,0.0020625,carry2_post4,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_c/seed_97/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_c/seed_97/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.5,16000.0,64000.0,0.6055,2000.0,1.0608052432537078,0.9785625,1.3823967488408089,0.0033125,kl_lss_sare,post_pass_c,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_c/seed_97/kl_lss_sare,97
0.9283383685800605,1.0,4,0.9592749244712991,0.006767371601208459,carry2_post4,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_c/seed_101/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_c/seed_101/kl_lss_sare/student_resolved_config.yaml,1.0,0.671875,0.671875,0.0,0.328125,0.328125,1.0,0.5,8275.0,56275.0,0.9283383685800605,1760.0,1.2068300436072377,0.9592749244712991,1.3802338794467572,0.006767371601208459,kl_lss_sare,post_pass_c,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_c/seed_101/kl_lss_sare,101
0.9069694102806686,1.0,4,0.9471775465152948,0.00804162724692526,carry2_post4,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_f/seed_137/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_f/seed_137/kl_lss_sare/student_resolved_config.yaml,1.0,0.578125,1.0,0.0,0.421875,0.0,1.0,0.5,6342.0,54342.0,0.9069694102806686,1700.0,0.9271544334507105,0.9471775465152948,1.3827005975557916,0.00804162724692526,kl_lss_sare,post_pass_f,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_f/seed_137/kl_lss_sare,137
0.9700625,0.5625,4,0.9780625,0.003,carry2_post4,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_f/seed_139/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_f/seed_139/kl_lss_sare/student_resolved_config.yaml,0.5,0.5625,1.0,0.0625,0.0,-0.4375,0.5625,0.5,16000.0,64000.0,0.9700625,2000.0,0.761264069199562,0.9780625,1.3799947122335434,0.003,kl_lss_sare,post_pass_f,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_f/seed_139/kl_lss_sare,139
1.0,0.0,1,0.0,0.0016875,carry2_post4,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_f/seed_149/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_f/seed_149/kl_lss_sare/student_resolved_config.yaml,0.0,0.59375,1.0,0.0,-0.59375,-1.0,0.0,0.5,16000.0,64000.0,0.6240625,2000.0,0.5884147165268659,0.444375,1.3795244109630584,0.0029375,kl_lss_sare,post_pass_f,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_f/seed_149/kl_lss_sare,149
0.7274113082039911,1.0,3,0.041019955654102,0.007206208425720621,carry3_post5,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_b/seed_73/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_b/seed_73/kl_lss_sare/student_resolved_config.yaml,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,644.0,39860.0,0.0015527950310559005,1248.0,0.7500536904615515,0.453416149068323,1.3779055427102482,0.08385093167701864,kl_lss_sare,post_pass_b,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_b/seed_73/kl_lss_sare,73
0.7037525652301377,1.0,3,0.022280856053943126,0.007475813544415127,carry3_post5,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_b/seed_79/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_b/seed_79/kl_lss_sare/student_resolved_config.yaml,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,640.0,39462.0,0.0,1236.0,1.291290013186903,0.45,1.3650084403624017,0.0875,kl_lss_sare,post_pass_b,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_b/seed_79/kl_lss_sare,79
0.979625,0.5625,4,0.979625,0.00275,carry3_post5,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_b/seed_83/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_b/seed_83/kl_lss_sare/student_resolved_config.yaml,0.5625,0.5625,1.0,0.0,0.0,-0.4375,0.5625,0.5,16000.0,64000.0,0.979625,2000.0,0.6358935406208038,0.979625,1.3541616723537444,0.00275,kl_lss_sare,post_pass_b,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_b/seed_83/kl_lss_sare,83
0.9709375,0.515625,4,0.9789375,0.00325,carry3_post5,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_c/seed_89/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_c/seed_89/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,1.0,0.515625,0.515625,-0.484375,0.515625,0.5,16000.0,64000.0,0.9709375,2000.0,0.9775818227231503,0.9789375,1.3839563005566597,0.00325,kl_lss_sare,post_pass_c,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_c/seed_89/kl_lss_sare,89
0.487375,1.0,4,0.9785625,0.0033125,carry3_post5,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_c/seed_97/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_c/seed_97/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,16000.0,64000.0,0.487375,2000.0,1.011482448875904,0.9785625,1.3821989362835885,0.0033125,kl_lss_sare,post_pass_c,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry3_post5/post_pass_c/seed_97/kl_lss_sare,97
